SuiRate,Unemp,Vet,Arrest,Mental,Disable,uxa,uxm,uxd,uxv,vxa,vxm,vxd,axm,axd,mxd,UnempOG,Unemp2,Unemp3,Unemp4,Unemp5,Unemp6,Unemp7,Unemp8,Unemp9,Unemp10,Unemp11,Unemp12,Unemp13,Unemp15
13.6,0.333333333,11.2,2562,4.06,16.2,854,1.353333333,5.4,3.733333333,28694.4,45.472,181.44,10401.72,41504.4,65.772,9,0.954242509,81,3,0.111111111,2.197224577,729,2.080083823,0.012345679,-3.169925001,0.315464877,0.099518088,0.5616626,-0.477121255
15,0.353553391,11,2329.59,4.8,16.4,823.6344432,1.697056275,5.798275606,3.889087297,25625.49,52.8,180.4,11182.032,38205.276,78.72,8,0.903089987,64,2.828427125,0.125,2.079441542,512,2,0.015625,-3,0.333333333,0.111111111,0.577350269,-0.451544993
15.4,0.404888165,9.8,3834,4.64,16.7,1552.341225,1.878681086,6.761632357,3.967904018,37573.2,45.472,163.66,17789.76,64027.8,77.488,6.1,0.785329835,37.21,2.469817807,0.163934426,1.808288771,226.981,1.827160137,0.026874496,-2.608809243,0.383316643,0.146931648,0.619125708,-0.392664918
16.2,0.415227399,9.4,4064.64,4.23,16.5,1687.749896,1.756411899,6.851252088,3.903137553,38207.616,39.762,155.1,17193.4272,67066.56,69.795,5.8,0.763427994,33.64,2.408318916,0.172413793,1.757857918,195.112,1.796701779,0.029726516,-2.5360529,0.394313541,0.155483169,0.6279439,-0.381713997
17.1,0.476731295,9.1,4101,5.75,16.5,1955.075039,2.741204944,7.866066361,4.338254781,37319.1,52.325,150.15,23580.75,67666.5,94.875,4.4,0.643452676,19.36,2.097617696,0.227272727,1.481604541,85.184,1.638642541,0.051652893,-2.137503524,0.467835486,0.218870042,0.683985004,-0.321726338
23,0.375293313,14.2,6385.81,5.02,11,2396.551788,1.883972429,4.128226438,5.329165038,90678.502,71.284,156.2,32056.7662,70243.91,55.22,7.1,0.851258349,50.41,2.664582519,0.14084507,1.960094784,357.911,1.921997343,0.019837334,-2.827819025,0.353629419,0.125053766,0.594667486,-0.425629174
23.1,0.377964473,13.8,6242,4.32,11.1,2359.254241,1.632806523,4.19540565,5.215909728,86139.6,59.616,153.18,26965.44,69286.2,47.952,7,0.84509804,49,2.645751311,0.142857143,1.945910149,343,1.912931183,0.020408163,-2.807354922,0.356207187,0.12688356,0.596830954,-0.42254902
22.7,0.380693494,13.4,5528,3.9,11.2,2104.473634,1.484704626,4.263767131,5.101292817,74075.2,52.26,150.08,21559.2,61913.6,43.68,6.9,0.838849091,47.61,2.626785107,0.144927536,1.931521412,328.509,1.903778262,0.021003991,-2.786596362,0.358860728,0.128781022,0.599049855,-0.419424545
27.2,0.39223227,13.1,4273,4.02,11.6,1676.008491,1.576773727,4.549894335,5.138242741,55976.3,52.662,151.96,17177.46,49566.8,46.632,6.5,0.812913357,42.25,2.549509757,0.153846154,1.871802177,274.625,1.866255578,0.023668639,-2.700439718,0.370310062,0.137129542,0.608531069,-0.406456678
27,0.377964473,12.5,3960,5.4,12.6,1496.739313,2.041008154,4.76235236,4.724555913,49500,67.5,157.5,21384,49896,68.04,7,0.84509804,49,2.645751311,0.142857143,1.945910149,343,1.912931183,0.020408163,-2.807354922,0.356207187,0.12688356,0.596830954,-0.42254902
17.9,0.324442842,11.4,4659,4.6,11.5,1511.579202,1.492437074,3.731092686,3.698648402,53112.6,52.44,131.1,21431.4,53578.5,52.9,9.5,0.977723605,90.25,3.082207001,0.105263158,2.251291799,857.375,2.117911792,0.011080332,-3.247927513,0.307888645,0.094795417,0.554877144,-0.488861803
17.5,0.360374985,10.8,4323,4.24,12.3,1557.90106,1.527989937,4.432612316,3.892049839,46688.4,45.792,132.84,18329.52,53172.9,52.152,7.7,0.886490725,59.29,2.774887385,0.12987013,2.041220329,456.533,1.974680822,0.016866251,-2.944858446,0.339574896,0.11531111,0.582730552,-0.443245363
18.4,0.383482494,10.4,4148,4.09,12.8,1590.685387,1.568443402,4.908575929,3.988217942,43139.2,42.536,133.12,16965.32,53094.4,52.352,6.8,0.832508913,46.24,2.607680962,0.147058824,1.916922612,314.432,1.894536474,0.021626298,-2.765534746,0.361593721,0.130750019,0.601326634,-0.416254456
18.7,0.404888165,10.1,4431,4.33,12.9,1794.05946,1.753165755,5.22305733,4.089370467,44753.1,43.733,130.29,19186.23,57159.9,55.857,6.1,0.785329835,37.21,2.469817807,0.163934426,1.808288771,226.981,1.827160137,0.026874496,-2.608809243,0.383316643,0.146931648,0.619125708,-0.392664918
18.3,0.430331483,9.8,4125.88,4.04,13.1,1775.496059,1.738539191,5.637342426,4.217248533,40433.624,39.592,128.38,16668.5552,54049.028,52.924,5.4,0.73239376,29.16,2.323790008,0.185185185,1.686398954,157.464,1.754410643,0.034293553,-2.432959407,0.411022065,0.168939138,0.641110026,-0.36619688
17.4,0.372677996,10.7,5026,5.27,17.1,1873.079609,1.96401304,6.372793736,3.98765456,53778.2,56.389,182.97,26487.02,85944.6,90.117,7.2,0.857332496,51.84,2.683281573,0.138888889,1.974081026,373.248,1.930978769,0.019290123,-2.847996907,0.351123977,0.123288047,0.592557151,-0.428666248
17.3,0.40824829,10.3,4554,5.24,16.9,1859.162715,2.139221042,6.899396109,4.204957392,46906.2,53.972,174.07,23862.96,76962.6,88.556,6,0.77815125,36,2.449489743,0.166666667,1.791759469,216,1.817120593,0.027777778,-2.584962501,0.386852807,0.149655094,0.621974925,-0.389075625
19.4,0.447213595,9.8,4730,5.27,17.1,2115.320307,2.356815648,7.647352483,4.382693236,46354,51.646,167.58,24927.1,80883,90.117,5,0.698970004,25,2.236067977,0.2,1.609437912,125,1.709975947,0.04,-2.321928095,0.430676558,0.185482298,0.65625952,-0.349485002
18.5,0.506369684,9.5,4743.6,5.45,17,2402.015231,2.759714775,8.60828462,4.810511994,45064.2,51.775,161.5,25852.62,80641.2,92.65,3.9,0.591064607,15.21,1.974841766,0.256410256,1.360976553,59.319,1.574060917,0.06574622,-1.963474124,0.509301339,0.259387854,0.713653515,-0.295532304
